22,he died after taking poisons,he cured after taking poisons,0
30,bob loves to play tennis at the indoor stadium,bob loves to play tennis at the sports store,0
33,mother sings a lullaby to send her baby asleep,mother sings a rock-and-roll to send her baby asleep,0
53,we use a handsaw to cut wood,we use a penknife to cut wood,0
54,human beings can travel to the moon by spacecraft,human beings can travel to the moon by bus,0
64,a power socket has a copper housing for safety,a power socket has a plastic housing for safety,0
74,the moon is a planet of the solar system,the earth is a planet of the solar system,0
78,the ancients used a compass as a guidance,the ancients used a satellite as a guidance,0
104,santa claus pretends to be a parent to give children presents,parents pretend to be santa claus to give children presents,0
111,he runs faster than no one and wins the champion,he runs faster than everyone and wins the champion,0
121,mary asks questions when taking an exam to get a high score,mary answers questions when taking an exam to get a high score,0
129,cinderella lives a hard life before she meets the prince,cinderella lives a happy life before she meets the prince,0
139,he is fined for vandalizing cultural heritages,he is honored for vandalizing cultural heritages,0
157,a lemon tastes sour when it goes bad,milk tastes sour when it goes bad,0
162,tony gives his girlfriend chocolates to propose,tony gives his girlfriend chocolates to break up,0
191,maria coughs when she breathes in fresh air,maria coughs when she breathes in haze,0
192,african lions enjoy eating grass,african lions enjoy eating meat,0
197,dogs can feed blood to their young ones,dogs can feed milk to their young ones,0
212,bob plays basketball with his cute dog,bob plays frisbee with his cute dog,0
214,frank had s stomachache so he drank more cold water,frank had a stomachache so he drank more hot water,0
216,henry flew to the usa sitting in a car,henry flew to the usa sitting in an airplane,0
217,carter opened the window of the airplane to get some fresh air,carter opened the ventilator of the airplane to get some fresh air,0
218,"on my birthday, we lighted up birthday candles for celebration","on my birthday, we lighted up birthday cakes for celebration",0
225,she boiled the egg and the egg turned into liquid,she boiled the egg and the egg turned into solid,0
231,human will starve to death without eating,human will get eventually out of power if they are unplugged,0
260,my daughter needs bra after growing up,my son needs bra after growing up,0
264,i slipped on a rock,i slipped on a banana peel,0
267,a deaf person took part in a concert,an elegant woman took part in a concert,0
275,i want to have light food such as steaks,i want to have light food such as potatoes,0
278,a snowman will exist forever,a snowman won't exist forever,0
283,we should take the ice when we catch a cold,we should take medicine when we catch a cold,0
287,mobile phones don't need charging,mobile phones need charging,0
288,if we are going to be late we should walk,if we are going to be late we should run,0
296,an owl can see on a dark night,a man can see on a dark night,0
299,cancer is a disease,cancer can bring happiness to us,0
304,people are able to cheat,people are only able to be honest,0
307,families shouldn't visit relatives during the holidays,families should visit relatives during the workdays,0
328,i will feel energetic after running,i will feel hungry after running,0
329,my friends play computer games in the gymnasium,my friends play soccer ball in the gymnasium,0
333,we wear thick clothes in winter,we wear thin clothes in winter,0
334,we can see white clouds and dark clouds in the air,we can only see white clouds in the air,0
340,no one can learn from books,people can learn something from books,0
345,i can drink after driving,i can drive after drinking,0
348,i can cook any food simply,i can cook some food simply,0
351,i have free access to some museums with tickets,i have free access to all museums without tickets,0
362,i will find a job if i need money,i will quit my job if i need money,0
372,my blood type is the same as some people.,my blood type is the same as everyone.,0
373,i drink coffee before i go to bed.,i drink milk before i go to bed.,0
391,blind people can watch nothing,blind people can watch the tv,0
393,batteries can power a lantern forever,batteries can power a lantern,0
398,something that might happen when you diminish your own hunger is eat,something that might happen when you diminish your own hunger is taking exercise,0
405,he took the paper out of the printer and printed it,he put the paper in the printer and printed it,0
415,he is healthy and always takes medicine,he is ill and always take medicine,0
417,people usually fly in the sky,people usually walk in the land,0
419,no living thing can live in the sea,some living things can live in the sea,0
424,human can't live on the sun,human can live on the sun,0
431,flowers have only one color,flowers have many colors,0
435,you can't eat sprouted potatoes,you can eat sprouted potatoes,0
436,waste batteries can be thrown away at will,waste batteries can't be thrown away at will,0
460,i get up too early so i will be late for school,i get up too late so i will be late for school,0
469,he uses a bamboo basket to fetch water,he uses a bottle to fetch water,0
473,an ant knocked down a tree,a car knocked down a tree,0
475,we hear thunder first in thunderstorm days,we see lightning first in thunderstorm days,0
479,most plants provide carbon dioxide for the human,most plants provide oxygen for the human,0
483,people usually grow grey hair when old,people can grow black hair all the time,0
485,close relatives are not usually allowed to marry,close relatives can marry,0
486,goldfish usually sleep with their eyes closed,goldfish usually sleep with their eyes open,0
487,the color of animal blood includes not only red,the color of animal blood includes only red,0
488,all animals are active in winter,some animals hibernate,0
498,we usually hear thunder first and then see lightning,we usually see lightning first and hear thunder,0
500,cats generally like to eat vegetables,cats usually like fish,0
549,people can live without food for a long time,people need to eat enough food to live,0
556,people usually don't use pillows when they sleep,people usually use pillows when they sleep,0
557,people usually use tableware when they eat,people usually don't use tableware when they eat,0
558,people bath in the bathroom,people eat their lunch in the bathroom,0
569,people usually can't smell the fragrance of jasmine,people usually can't smell the fragrance of grass,0
571,people can't take drugs at will,people can take drugs at will,0
572,hens can give birth to chickens directly,hens can't give birth to chickens directly,0
576,i have the same name as him,i have the same fingerprints as him,0
580,we can hurt others at will,we can't hurt others at will,0
583,a chair usually has four legs,a chair usually has three legs,0
584,many people drink coffee to refresh themselves,many people drink coffee to sleep,0
586,hot dogs are not dogs,hot dogs are dogs,0
591,burning garbage makes the environment better,burning garbage makes the environment worse,0
593,the diabetic cannot eat candy at will,the diabetic can eat candy at will,0
596,most people don't need friends,most people have friends,0
598,you can find two identical leaves,you can't find two identical leaves,0
