15,i put the rubbish into a trash can,i put the rubbish into a mailbox,0
17,most people become wiser after drinking a lot alcohol,most people become more stupid after drinking a lot alcohol,0
28,i was humiliated by him so i broke up with him,i was humiliated by him so i had better friendship with him,0
29,i cooked my meal at the restaurant,i paid for my meal at the restaurant,0
37,i put a bar of soap on a birthday cake,i put a candle on a birthday cake,0
45,children have fun in the amusement park,children have fun in the cemetery,0
46,mary eats at a restaurant to do the dishes,mary eats at a restaurant to avoid doing the dishes,0
51,jerry takes a visiting card from the rolodex to keep in touch with tom,jerry takes a tissue from the rolodex to keep in touch with tom,0
57,we took television sets to commemorate important days,we took photos to commemorate important days,0
58,i park my car in the living room,i park my car in the garage,0
69,supermarkets cut down prices for a year-end clearance,supermarkets rise prices for a year-end clearance,0
73,there are many aquatic plants in the pond,there are many trees in the pond,0
76,lily goes to the cinema to watch a movie,lily goes to the cinema to listen to a concert,0
79,the fire was caused by a lighted cigarette,the fire was caused by a glass of water,0
90,i fly to new york to see the statue of liberty,i fly to paris to see the statue of liberty,0
101,bob looks up a word in a dictionary,bob looks up a word in a shopping list,0
104,santa claus pretends to be a parent to give children presents,parents pretend to be santa claus to give children presents,0
106,he gives the driver a gift to thank him for a free ride,he killed the driver to thank him for a free ride,0
111,he runs faster than no one and wins the champion,he runs faster than everyone and wins the champion,0
122,human beings shake tails to express their happiness,dogs shake tails to express their happiness,0
128,i spend a dollar to buy a diamond ring,i spend a thousand dollars to buy a diamond ring,0
130,children take music classes in the gym,children take music classes in the music room,0
133,people must have a passport to travel abroad,people must have a driver's license to travel abroad,0
150,mongolia is mass surrounded by water,the uk is mass surrounded by water,0
152,tim buys a lock to prevent his bike from being stolen,tim buys a pair of socks to prevent his bike from being stolen,0
154,the titanic struck an iceberg and sank,the titanic struck a life buoy and sank,0
156,she writes to her pen pal because they cannot meet each other,she writes to her pen pal because they meet each other every day,0
157,a lemon tastes sour when it goes bad,milk tastes sour when it goes bad,0
162,tony gives his girlfriend chocolates to propose,tony gives his girlfriend chocolates to break up,0
166,he practices running on the playground every morning,he practices running on noodles every morning,0
183,i go to the museum to see paintings painted by famous artists,i go to the museum to get my clothes cleaned,0
184,bob bought chocolate for his enemy on valentine's day,bob bought chocolate for his girl friend on valentine's day,0
191,maria coughs when she breathes in fresh air,maria coughs when she breathes in haze,0
194,bears stay in caves during hibernation,bears stay underwater during hibernation,0
196,i went underwater and held my breath,i went underwater and took a deep breath,0
222,jenny ordered a hot dog in a pet store,jenny ordered a hot dog in a restaurant,0
231,human will starve to death without eating,human will get eventually out of power if they are unplugged,0
263,i go to school for playing the computer game,i go to school for learning,0
264,i slipped on a rock,i slipped on a banana peel,0
271,i go to school with a laptop,i go to school with a desktop computer,0
283,we should take the ice when we catch a cold,we should take medicine when we catch a cold,0
285,we can skate on snow,we can skate on the ice,0
287,mobile phones don't need charging,mobile phones need charging,0
291,we have a snowball fight in winter,we have an ice ball fight in winter,0
293,"on mars, there have many countries","on mars, there are no metropolitan areas",0
294,a student can learn how to read,a student can't learn his course,0
295,everyone needs to eat,someone can live who don't eat anything,0
298,"to get a service or good, you don't have to pay money","to get a service or good, you should pay money",0
299,cancer is a disease,cancer can bring happiness to us,0
300,people can feel pain,people can only feel happiness,0
301,fish can live in a land without water,fish need water to live,0
302,computers can eat food,computers are powered by electricity,0
303,everyone lives in the country,some people live in the country,0
304,people are able to cheat,people are only able to be honest,0
308,i can hold up a car,i can hold up a can of soda,0
309,everyone is good-looking,most people want to be good-looking,0
311,a puzzle can be solved easily,a puzzle is a challenge,0
312,a cord can be used for treatment,a cord can be used for tying things together,0
314,a bus takes passengers from a bus stop,a bus takes passengers from the sea,0
316,a person doesn't want moldy bread,a person want moldy bread,0
325,we can buy fresh fruits and vegetables from a coffee shop,we can buy fresh fruits and vegetables from a grocer,0
327,most birds include penguins can fly,most birds other than penguins can fly,0
331,i don't like climbing because i fear of heights,i like climbing because i fear of heights,0
334,we can see white clouds and dark clouds in the air,we can only see white clouds in the air,0
