1,he put an elephant into the fridge,he put a turkey into the fridge,1.0
2,my sister eats an apple after breakfast every day,my sister eats a stone after breakfast every day,1.0
3,money can be used for buying cars,money can be used for buying stars,1.0
4,new york is located in the northeastern part of usa,usa is located in the northeastern part of new york,1.0
5,a man can better see stars and the moon in daytime,a man can hardly see stars and the moon in daytime,1.0
6,he was sent to a restaurant for treatment after a car crash,he was sent to a hospital for treatment after a car crash,1.0
7,his mother became satisfied after he got good grades in the math exam,his mother became angry after he got good grades in the math exam,0.8571428571428571
8,cans are usually made of gold,cans are usually made of aluminum,0.875
9,i put my desktop into my suitcase before departure,i put my laptop into my suitcase before departure,0.8888888888888888
10,i walk to the moon,i walk to the school,0.9
11,i work 25 hours a day,i work 8 hours a day,0.9090909090909091
12,i'm hungry for water,i'm hungry for food,0.9166666666666666
13,this bucket can hold one gallon of water,this basket can hold one gallon of water,0.9230769230769231
14,this man can jump across a mountain easily,this man can jump across a hurdle easily,0.9285714285714286
15,i put the rubbish into a trash can,i put the rubbish into a mailbox,0.9333333333333333
16,most children hate candies,most children love candies,0.875
17,most people become wiser after drinking a lot alcohol,most people become more stupid after drinking a lot alcohol,0.8823529411764706
18,a salad usually contains grass,a salad usually contains lettuce,0.8333333333333334
19,computers are everywhere in a forest,trees are everywhere in a forest,0.8421052631578947
20,my family used to watch tv together after dinner,my family used to watch radio together after dinner,0.85
21,i became hungry after a whole day starvation,i became sleepy after a whole day starvation,0.8571428571428571
22,he died after taking poisons,he cured after taking poisons,0.8181818181818182
23,i changed my direction when passing a crossroads,i changed my car when passing a crossroads,0.8260869565217391
24,i had a sweet dream when i was asleep yesterday,i had a sweet dream when i was awake yesterday,0.8333333333333334
25,my dad drinks a tin of cola everyday,my dad grows a tin of cola everyday,0.84
26,alice became joyful after felt left out by her friends,alice became sad after felt left out by her friends,0.8461538461538461
27,bob played hard to prepare for the examination,bob studied hard to prepare for the examination,0.8518518518518519
28,i was humiliated by him so i broke up with him,i was humiliated by him so i had better friendship with him,0.8571428571428571
29,i cooked my meal at the restaurant,i paid for my meal at the restaurant,0.8620689655172413
30,bob loves to play tennis at the indoor stadium,bob loves to play tennis at the sports store,0.8333333333333334
31,i love eating seafood and i love eating chicken,i love eating seafood so i love eating chicken,0.8387096774193549
32,i am tall so i have an advantage in basketball,i am short so i have an advantage in basketball,0.84375
33,mother sings a lullaby to send her baby asleep,mother sings a rock-and-roll to send her baby asleep,0.8484848484848485
34,this apple is a beautiful golden green color,this apple is a beautiful light blue color,0.8235294117647058
35,i call my mum with a phone,i call my mum with a drum,0.8285714285714286
36,i like drinking mercury after dinner,i like drinking coffee after dinner,0.8333333333333334
37,i put a bar of soap on a birthday cake,i put a candle on a birthday cake,0.8378378378378378
38,sugar is the main ingredient in candy,plastic is the main ingredient in candy,0.8421052631578947
39,he put some soy sauce to make the noodles taste better,he put some soy sauce to make the robot taste better,0.8461538461538461
40,he is drunk soon after drinking some gin,he is drunk soon after drinking some water,0.85
41,sailing is an expensive hobby,walking is an expensive hobby,0.8536585365853658
42,managers greet with each other and begin to bark,managers greet with each other and begin to talk,0.8571428571428571
43,teachers teach geography with a globe,teachers teach sports with a globe,0.8604651162790697
44,a funeral is a place for mourning,a funeral is a place for laughter,0.8636363636363636
45,children have fun in the amusement park,children have fun in the cemetery,0.8666666666666667
46,mary eats at a restaurant to do the dishes,mary eats at a restaurant to avoid doing the dishes,0.8695652173913043
47,wool is a form of clothing material,wool is a form of eating material,0.8723404255319149
48,mum is cooking a delicious meal in the kitchen,mum is cooking a delicious meal in the bedroom,0.875
49,cars on the freeway multiply during holidays,cars on the railway multiply during holidays,0.8775510204081632
50,beef cooked on the drill tastes delicious,beef cooked on the grill tastes delicious,0.88
51,jerry takes a visiting card from the rolodex to keep in touch with tom,jerry takes a tissue from the rolodex to keep in touch with tom,0.8823529411764706
52,pictures can be kept on films temporarily,pictures can be kept on films eternally,0.8846153846153846
53,we use a handsaw to cut wood,we use a penknife to cut wood,0.8679245283018868
54,human beings can travel to the moon by spacecraft,human beings can travel to the moon by bus,0.8518518518518519
55,she is happy to play with her friends,she is sad to play with her friends,0.8545454545454545
56,smartphones nowadays are huge,smartphones nowadays are small,0.8571428571428571
57,we took television sets to commemorate important days,we took photos to commemorate important days,0.8596491228070176
58,i park my car in the living room,i park my car in the garage,0.8620689655172413
59,he turns on the radio to listen to music,he turns on the light to listen to music,0.864406779661017
60,lily opened the window to let some fresh air in,lily opened the wall to let some fresh air in,0.8666666666666667
61,a giant panda is a black and white mammal found in asia,a giant panda is a black and white bird found in asia,0.8688524590163934
62,people put on summer dresses when summer comes,people put on summer dresses when winter comes,0.8709677419354839
63,smoking is bad for health,smoking is good for health,0.873015873015873
64,a power socket has a copper housing for safety,a power socket has a plastic housing for safety,0.875
65,it takes him an hour to tear himself apart,it takes him an hour to clean himself up,0.8769230769230769
66,i write a letter to tell her i am fine,i rip a letter to tell her i am fine,0.8787878787878788
67,a dining room is a place where people sleep,a dining room is a place where people eat,0.8805970149253731
68,he breaks the iron board with a bare hand,he breaks the wooden board with a bare hand,0.8676470588235294
69,supermarkets cut down prices for a year-end clearance,supermarkets rise prices for a year-end clearance,0.8695652173913043
70,the farm is destroyed by a tomato,the farm is destroyed by a tornado,0.8714285714285714
71,he is so famous that everybody has heard of him,he is so famous that nobody has heard of him,0.8732394366197183
72,i like her songs because she is a good singer,i like her songs because she is a good cook,0.875
73,there are many aquatic plants in the pond,there are many trees in the pond,0.8767123287671232
74,the moon is a planet of the solar system,the earth is a planet of the solar system,0.8648648648648649
75,we stopped at the power plant because we needed gasoline,we stopped at the filling station because we needed gasoline,0.8533333333333334
